,Estado,Periodo,ANOVA_flag,Kurskal_flag,Data_set
1,Baja California,2004-2009,0,0,Data_pot_cae
8,Ciudad de México,2004-2009,0,0,Data_pot_cae
14,México,2004-2009,0,0,Data_pot_cae
18,Nuevo León,2004-2009,0,1,Data_pot_cae
21,Querétaro,2004-2009,0,0,Data_pot_cae
23,San Luis Potosí,2004-2009,0,0,Data_pot_cae
28,Tlaxcala,2004-2009,0,0,Data_pot_cae
14,México,2009-2014,0,0,Data_pot_cae
15,Michoacán,2009-2014,0,0,Data_pot_cae
20,Puebla,2009-2014,0,0,Data_pot_cae
1,Baja California,2014-2019,0,0,Data_pot_cae
8,Ciudad de México,2014-2019,0,0,Data_pot_cae
13,Jalisco,2014-2019,0,0,Data_pot_cae
14,México,2014-2019,0,0,Data_pot_cae
15,Michoacán,2014-2019,0,0,Data_pot_cae
18,Nuevo León,2014-2019,0,1,Data_pot_cae
20,Puebla,2014-2019,0,0,Data_pot_cae
21,Querétaro,2014-2019,0,0,Data_pot_cae
24,Sinaloa,2014-2019,0,0,Data_pot_cae
28,Tlaxcala,2014-2019,0,0,Data_pot_cae
