,Estado,Periodo,ANOVA_flag,Kurskal_flag,Data_set
1,Baja California,2004-2009,0,0,Data_cae_ue
8,Ciudad de México,2004-2009,0,0,Data_cae_ue
10,Guanajuato,2004-2009,1,0,Data_cae_ue
13,Jalisco,2004-2009,1,0,Data_cae_ue
14,México,2004-2009,0,0,Data_cae_ue
21,Querétaro,2004-2009,0,0,Data_cae_ue
22,Quintana Roo,2004-2009,1,0,Data_cae_ue
23,San Luis Potosí,2004-2009,0,0,Data_cae_ue
28,Tlaxcala,2004-2009,0,0,Data_cae_ue
13,Jalisco,2009-2014,1,0,Data_cae_ue
14,México,2009-2014,0,0,Data_cae_ue
15,Michoacán,2009-2014,0,0,Data_cae_ue
20,Puebla,2009-2014,0,0,Data_cae_ue
1,Baja California,2014-2019,0,0,Data_cae_ue
8,Ciudad de México,2014-2019,0,0,Data_cae_ue
13,Jalisco,2014-2019,0,0,Data_cae_ue
14,México,2014-2019,0,0,Data_cae_ue
15,Michoacán,2014-2019,0,0,Data_cae_ue
20,Puebla,2014-2019,0,0,Data_cae_ue
21,Querétaro,2014-2019,0,0,Data_cae_ue
24,Sinaloa,2014-2019,0,0,Data_cae_ue
28,Tlaxcala,2014-2019,0,0,Data_cae_ue
